"outcome","ace_rate","df_rate","first_in_pct","first_won_pct","second_won_pct","bp_save_rate"
"Loss",0.0794,0.0347,0.6191,0.7172,0.5119,0.5835
"Win",0.0876,0.0344,0.6215,0.7264,0.517,0.6014
