"K","WSS"
1,47320.1219895383
2,30566.0576634773
3,20892.56568454
4,17234.0686097186
5,14043.9306402549
6,12044.5878067359
7,10642.654212846
8,9526.75882661585
9,8579.86706119202
10,7779.92787381895
