"K","Avg_Silhouette_Width"
2,0.330305792763184
3,0.342867918092755
4,0.301025006858015
5,0.322572090026104
6,0.322029563899715
7,0.31416711186778
8,0.315362748708217
9,0.314880678857313
10,0.314666202727754
