"Cluster","ace_rate","double_fault_rate","first_serve_pct","winner_rate","unforced_error_rate","return_pts_won_pct","bp_save_rate"
1,0.0523477290268602,0.0221102863863633,0.653561401466212,0.148055109405181,0.157361522181466,0.367760259845484,0.576500740805576
2,0.0592944599159919,0.0542594603968241,0.562621503125512,0.146021483135039,0.22431610549334,0.317207400482538,0.484106765508849
3,0.145267654093518,0.0342893210249324,0.626459454711347,0.231415362280165,0.155466691030493,0.372329573687417,0.740311747335174
