"","ace_rate","df_rate","first_in_pct","first_won_pct","second_won_pct","winners_fh_rate","winners_bh_rate","bp_save_rate"
"ace_rate",1,0.0461132591893027,0.0306069272816351,0.547604326341417,0.152167700570666,0.0431253682569107,0.0060277492290401,0.174224504269111
"df_rate",0.0461132591893027,1,-0.329709397223748,-0.00585569909575894,-0.315596887223937,-0.115925948246121,-0.0298015966312314,-0.0775329730904629
"first_in_pct",0.0306069272816351,-0.329709397223748,1,-0.0421467652552525,0.0724018410742767,0.0847782472369017,-0.0161159822847046,0.0861934676561257
"first_won_pct",0.547604326341417,-0.00585569909575894,-0.0421467652552525,1,0.302542826675036,0.264509685603382,0.15903459648883,0.300979227308081
"second_won_pct",0.152167700570666,-0.315596887223937,0.0724018410742767,0.302542826675036,1,0.242234351827046,0.17839783891839,0.265871604039652
"winners_fh_rate",0.0431253682569107,-0.115925948246121,0.0847782472369017,0.264509685603382,0.242234351827046,1,0.237231746004221,0.0833809863852393
"winners_bh_rate",0.0060277492290401,-0.0298015966312314,-0.0161159822847046,0.15903459648883,0.17839783891839,0.237231746004221,1,0.0334389641673912
"bp_save_rate",0.174224504269111,-0.0775329730904629,0.0861934676561257,0.300979227308081,0.265871604039652,0.0833809863852393,0.0334389641673912,1
